Environment,UTD,Learning Rate,Batch Size
Ant-v4,0.25,0.0001,256
Ant-v4,0.5,0.0001,256
Ant-v4,16,0.0001,256
HalfCheetah-v4,0.25,0.002,512
HalfCheetah-v4,0.5,0.002,512
HalfCheetah-v4,16,0.002,512
Humanoid-v4,0.25,0.0002,256
Humanoid-v4,0.5,0.0002,256
Humanoid-v4,16,0.0002,256
Walker2d-v4,0.25,0.0005,128
Walker2d-v4,0.5,0.0005,128
Walker2d-v4,16,0.0005,128
